product_id,product_name,serving_size,servings_per_day,energy_kcal,carbohydrate_g,protein_g,fat_g,vitamin_a_ug,vitamin_c_mg,vitamin_d_ug,vitamin_e_mg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b6_mg,folic_acid_ug,calcium_mg,magnesium_mg,zinc_mg,iron_mg,selenium_ug,epa_dha_mg,lutein_mg,probiotics_cfu
HF202600001,EPA 및 DHA 함유 유지 플러스 001,1포,1,15,4.6,0.3,0.9,700,500,25,0,2.4,1.4,0.75,0,700,150,8.5,15,55,1200,10,100000000
HF202600002,프로바이오틱스 플러스 002,2캡슐,2,0,1.2,1.1,1.1,700,0,50,11,0,0,3,400,210,150,2.55,3.6,55,500,20,0
HF202600003,루테인 플러스 003,1병,1,10,3.9,0.1,0.7,350,0,25,11,2.4,0.7,0.75,200,400,150,2.55,8,100,900,20,1000000000
HF202600004,루테인 플러스 004,1정,2,0,0.7,1.9,1.7,1000,1000,25,0,2.4,0,1.5,0,700,150,8.5,15,55,0,20,100000000
HF202600005,마그네슘 플러스 005,2캡슐,1,20,4.4,1.1,1.8,350,0,50,11,2.4,0,0.75,0,0,150,12,0,0,500,20,100000000
HF202600006,비타민D 플러스 006,2캡슐,2,10,3.4,1.5,1.9,1000,1000,10,20,0,2.8,3,400,0,150,2.55,15,100,500,10,0
HF202600007,칼슘 플러스 007,1병,1,20,4.5,1.3,0.1,700,50,0,20,0,0.7,0,0,400,94.5,2.55,3.6,0,500,20,100000000
HF202600008,아연 플러스 008,2정,1,5,3.9,1.2,0.6,350,50,25,5.5,0,0,0.75,0,400,94.5,8.5,0,16.5,900,0,100000000
HF202600009,칼슘 플러스 009,1병,2,20,0.6,0.1,0.9,700,1000,0,20,0.6,0,1.5,800,0,0,12,15,100,0,10,10000000000
HF202600010,홍삼 플러스 010,1정,1,10,3.0,0.1,0.6,700,500,25,20,2.4,0,0,200,700,250,2.55,15,55,1200,10,10000000000
HF202600011,폴리코사놀-사탕수수왁스알코올 플러스 011,1병,1,10,2.1,1.3,0.7,350,500,0,0,0,0,3,0,400,94.5,0,8,0,1200,10,10000000000
HF202600012,비타민C 플러스 012,1병,1,10,3.0,0.7,1.2,350,50,50,5.5,0,1.4,1.5,0,400,94.5,12,0,55,0,0,1000000000
HF202600013,비타민C 플러스 013,1병,1,10,1.8,0.4,0.3,1000,0,10,0,0,0.7,3,800,700,150,2.55,8,55,900,20,0
HF202600014,엽산 플러스 014,1정,1,5,3.8,0.1,0.2,1000,500,50,20,2.4,1.4,0.75,0,400,250,0,8,100,900,0,100000000
HF202600015,프로바이오틱스 플러스 015,2캡슐,3,0,0.0,0.6,0.4,350,100,25,11,0,0,3,800,210,94.5,12,3.6,55,0,10,0
HF202600016,비타민C 플러스 016,2캡슐,1,15,4.6,1.7,1.2,1000,500,25,0,2.4,0,1.5,200,700,150,0,15,0,500,10,10000000000
HF202600017,가르시니아캄보지아추출물 플러스 017,1포,1,15,4.4,1.5,0.4,350,0,0,5.5,1.2,1.4,0.75,200,0,94.5,8.5,3.6,16.5,500,20,0
HF202600018,가르시니아캄보지아추출물 플러스 018,2정,2,15,3.8,1.5,0.9,700,100,10,20,0,2.8,3,400,400,0,8.5,0,55,1200,10,0
HF202600019,밀크씨슬추출물 플러스 019,1정,1,10,0.4,1.7,1.7,1000,500,0,20,0.6,1.4,3,200,0,250,0,8,0,500,0,100000000
HF202600020,루테인 플러스 020,1병,2,15,2.6,1.2,0.7,700,500,50,11,0,1.4,0,400,0,250,8.5,8,16.5,900,0,100000000
HF202600021,프로바이오틱스 플러스 021,1캡슐,1,35,3.5,0.8,1.2,0,100,50,11,0.6,0,3,400,0,150,8.5,3.6,16.5,900,10,100000000
HF202600022,밀크씨슬추출물 플러스 022,2정,1,5,0.4,1.7,0.2,0,100,10,20,0.6,0.7,0.75,200,700,0,12,8,16.5,1200,20,1000000000
HF202600023,코엔자임Q10 플러스 023,1병,2,5,2.7,0.6,1.6,1000,50,25,20,2.4,1.4,3,800,210,94.5,2.55,8,0,1200,10,0
HF202600024,철 플러스 024,1병,3,0,1.4,1.5,0.5,350,500,0,5.5,2.4,1.4,0,800,0,250,8.5,3.6,100,0,10,100000000
HF202600025,루테인 플러스 025,1정,1,0,4.2,1.3,1.6,350,0,25,20,0.6,2.8,3,0,0,0,8.5,3.6,16.5,1200,0,1000000000
HF202600026,폴리코사놀-사탕수수왁스알코올 플러스 026,2정,1,0,0.2,0.8,1.6,1000,0,0,20,0,0.7,0.75,400,700,0,8.5,3.6,100,500,20,0
HF202600027,가르시니아캄보지아추출물 플러스 027,1포,1,0,4.8,1.1,1.6,0,500,50,0,2.4,1.4,1.5,0,400,0,8.5,3.6,0,900,0,0
HF202600028,폴리코사놀-사탕수수왁스알코올 플러스 028,1캡슐,3,10,4.1,0.4,1.6,1000,500,10,5.5,0,2.8,0,400,210,0,2.55,0,55,900,20,10000000000
HF202600029,칼슘 플러스 029,1포,2,10,0.2,1.3,0.6,0,100,25,0,1.2,2.8,3,800,700,150,2.55,15,100,900,20,1000000000
HF202600030,마그네슘 플러스 030,1정,2,0,2.2,2.0,0.4,700,100,0,0,1.2,1.4,1.5,800,700,94.5,12,8,100,0,20,1000000000
HF202600031,엽산 플러스 031,1포,2,10,3.2,1.6,0.1,1000,100,10,0,0.6,2.8,0,200,0,94.5,8.5,8,100,0,20,100000000
HF202600032,비타민D 플러스 032,1병,2,10,1.9,1.5,1.1,700,500,25,11,0.6,0,0,200,700,250,0,8,55,1200,0,1000000000
HF202600033,쏘팔메토열매추출물 플러스 033,1병,2,5,0.6,1.7,0.9,1000,0,25,11,0,1.4,1.5,200,210,150,2.55,0,16.5,500,0,10000000000
HF202600034,가르시니아캄보지아추출물 플러스 034,1정,1,20,2.9,0.9,2.0,350,1000,0,0,1.2,2.8,3,800,700,0,2.55,8,0,1200,10,1000000000
HF202600035,코엔자임Q10 플러스 035,2정,3,35,2.9,1.5,0.3,0,0,10,11,0.6,0.7,1.5,200,400,150,0,8,16.5,900,0,1000000000
HF202600036,쏘팔메토열매추출물 플러스 036,1포,3,0,2.5,0.3,1.9,350,50,25,0,0,0,0,400,210,250,0,15,55,900,10,100000000
HF202600037,프로바이오틱스 플러스 037,1병,2,10,2.3,1.4,0.3,1000,500,50,5.5,1.2,0.7,1.5,400,400,250,2.55,8,0,900,0,10000000000
HF202600038,비타민D 플러스 038,1정,1,15,1.2,0.2,0.6,1000,1000,50,5.5,0.6,1.4,1.5,200,210,250,12,15,55,1200,0,0
HF202600039,폴리코사놀-사탕수수왁스알코올 플러스 039,2캡슐,3,15,4.8,0.4,0.7,0,100,50,20,1.2,0,0,800,210,150,8.5,15,55,0,10,0
HF202600040,루테인 플러스 040,1포,3,5,1.8,0.6,0.8,1000,1000,25,0,0.6,0,3,400,400,150,2.55,3.6,100,0,0,0
HF202600041,가르시니아캄보지아추출물 플러스 041,2정,1,15,2.6,0.3,1.8,350,100,25,5.5,2.4,1.4,1.5,800,400,250,0,8,55,0,10,1000000000
HF202600042,철 플러스 042,1병,1,20,2.4,1.9,1.6,350,0,50,5.5,2.4,0.7,0.75,0,0,94.5,0,15,55,1200,0,10000000000
HF202600043,밀크씨슬추출물 플러스 043,1병,1,15,2.5,1.2,0.9,0,50,10,11,2.4,2.8,1.5,200,700,150,8.5,8,100,500,0,1000000000
HF202600044,마그네슘 플러스 044,1포,1,5,4.7,2.0,1.5,350,500,25,20,1.2,1.4,1.5,0,700,250,8.5,3.6,55,0,10,0
HF202600045,비타민D 플러스 045,1캡슐,2,35,1.3,1.0,0.4,700,1000,25,5.5,0,0.7,0.75,0,210,94.5,0,0,100,900,20,10000000000
HF202600046,밀크씨슬추출물 플러스 046,1정,1,0,4.8,2.0,0.3,1000,500,10,11,1.2,1.4,0,0,210,0,2.55,15,16.5,0,10,10000000000
HF202600047,루테인 플러스 047,2정,1,0,0.0,1.1,0.2,700,100,50,20,0.6,2.8,1.5,200,0,150,2.55,15,55,500,0,1000000000
HF202600048,밀크씨슬추출물 플러스 048,1캡슐,3,35,3.8,0.4,1.7,1000,500,25,0,2.4,0,0.75,200,700,150,2.55,0,55,1200,0,10000000000
HF202600049,코엔자임Q10 플러스 049,1캡슐,1,10,2.9,1.1,0.5,700,50,0,0,2.4,1.4,0.75,800,400,0,8.5,8,16.5,500,0,10000000000
HF202600050,폴리코사놀-사탕수수왁스알코올 플러스 050,2정,2,35,4.9,0.7,1.4,1000,1000,10,5.5,0,2.8,1.5,0,0,0,2.55,3.6,16.5,900,20,10000000000
HF202600051,엽산 플러스 051,1정,1,35,2.9,0.2,1.0,0,500,10,20,2.4,0,3,400,0,250,8.5,0,16.5,0,0,10000000000
HF202600052,폴리코사놀-사탕수수왁스알코올 플러스 052,1캡슐,1,20,5.0,1.9,0.1,1000,0,25,20,0.6,0.7,3,400,700,250,12,15,0,500,20,1000000000
HF202600053,코엔자임Q10 플러스 053,1정,1,20,2.0,0.3,2.0,0,0,25,20,2.4,2.8,0.75,200,700,150,2.55,8,16.5,0,0,10000000000
HF202600054,마그네슘 플러스 054,1포,1,5,1.0,0.2,0.1,0,50,0,20,2.4,0.7,0.75,0,210,150,2.55,8,55,500,10,100000000
HF202600055,EPA 및 DHA 함유 유지 플러스 055,1병,3,5,2.1,0.6,1.1,350,500,50,0,1.2,2.8,1.5,800,700,94.5,8.5,15,16.5,1200,0,100000000
HF202600056,비타민C 플러스 056,1캡슐,1,15,4.6,1.1,1.9,350,500,10,11,0.6,1.4,0,800,400,0,2.55,0,55,1200,20,0
HF202600057,칼슘 플러스 057,1정,1,20,3.6,1.1,1.0,700,100,0,5.5,0.6,0,3,200,210,250,2.55,8,55,1200,10,1000000000
HF202600058,아연 플러스 058,1캡슐,1,10,2.6,1.0,0.2,1000,100,10,11,1.2,2.8,0,200,210,0,8.5,15,55,500,0,1000000000
HF202600059,밀크씨슬추출물 플러스 059,2정,2,20,4.2,1.0,1.3,700,100,50,20,2.4,0.7,1.5,200,210,250,2.55,0,0,0,20,0
HF202600060,비타민C 플러스 060,1정,2,5,4.2,0.5,1.4,0,50,50,11,0,2.8,3,0,0,250,0,0,55,900,0,10000000000
HF202600061,철 플러스 061,2정,1,0,2.6,0.5,1.2,700,100,25,20,0,1.4,3,800,210,94.5,8.5,0,0,0,10,10000000000
HF202600062,프로바이오틱스 플러스 062,2캡슐,3,15,0.3,0.0,0.3,1000,500,25,0,0,0.7,0.75,800,400,0,0,8,0,500,10,0
HF202600063,아연 플러스 063,2정,3,5,3.8,1.4,0.8,0,100,10,5.5,2.4,1.4,3,200,0,150,0,0,100,500,0,1000000000
HF202600064,프로바이오틱스 플러스 064,1포,3,20,2.0,1.5,0.1,700,500,50,5.5,1.2,2.8,3,200,700,0,8.5,3.6,0,0,10,100000000
HF202600067,EPA 및 DHA 함유 유지 플러스 067,2캡슐,1,15,3.9,0.7,1.9,1000,1000,10,20,0,0.7,1.5,0,700,150,12,8,100,900,10,100000000
HF202600068,철 플러스 068,1캡슐,1,20,4.7,0.4,0.6,1000,100,25,20,0.6,1.4,3,400,700,150,0,3.6,16.5,0,20,10000000000
