product_id,product_name,intake_method,intake_time,warning,allergen_info,storage_method,raw_materials,functional_display,barcode
HF202600001,EPA 및 DHA 함유 유지 플러스 001,1일 1병 섭취,식전/식후 무관,임산부·수유부는 섭취 전 전문가와 상담,우유 함유,개봉 후 냉장 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",피부 건강에 도움을 줄 수 있음,8806048096802
HF202600002,프로바이오틱스 플러스 002,"1일 2회, 1회 1포 섭취",저녁 식후,질환자 또는 의약품 복용자는 전문가와 상담,우유 함유,직사광선을 피해 서늘한 곳에 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",혈행 개선에 도움을 줄 수 있음,8803437319900
HF202600003,루테인 플러스 003,"1일 1회, 1회 2캡슐 섭취",취침 전 제외,임산부·수유부는 섭취 전 전문가와 상담,복숭아 함유 가능,고온다습한 곳을 피하여 실온 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",혈중 콜레스테롤 개선에 도움을 줄 수 있음,8809318010743
HF202600004,루테인 플러스 004,"1일 1회, 1회 2캡슐 섭취",저녁 식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,우유 함유,개봉 후 냉장 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",장 건강에 도움을 줄 수 있음,8805136395494
HF202600005,마그네슘 플러스 005,"1일 2회, 1회 1포 섭취",식전/식후 무관,특이체질 및 알레르기 체질은 성분 확인 후 섭취,게/새우 함유 가능,고온다습한 곳을 피하여 실온 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",혈압 조절에 도움을 줄 수 있음,8805586143660
HF202600006,비타민D 플러스 006,"1일 2회, 1회 1포 섭취",식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,대두 함유,어린이 손이 닿지 않는 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",혈압 조절에 도움을 줄 수 있음,8807073166054
HF202600007,칼슘 플러스 007,1일 1병 섭취,저녁 식후,수술 전후 또는 항응고제 복용자는 전문가와 상담,알레르기 유발물질 없음,직사광선을 피해 서늘한 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",기억력 개선에 도움을 줄 수 있음,8803951331472
HF202600008,아연 플러스 008,"1일 1회, 1회 2캡슐 섭취",식전/식후 무관,특이체질 및 알레르기 체질은 성분 확인 후 섭취,대두 함유,개봉 후 냉장 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",항산화에 도움을 줄 수 있음,8801449790661
HF202600009,칼슘 플러스 009,"1일 2회, 1회 1포 섭취",아침 식후,과다 섭취 시 설사 또는 위장장애 가능,우유 함유,직사광선을 피해 서늘한 곳에 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",혈중 콜레스테롤 개선에 도움을 줄 수 있음,8809131344493
HF202600010,홍삼 플러스 010,"1일 1회, 1회 1정을 물과 함께 섭취",식전/식후 무관,질환자 또는 의약품 복용자는 전문가와 상담,복숭아 함유 가능,어린이 손이 닿지 않는 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",눈 건강에 도움을 줄 수 있음,8805729866281
HF202600011,폴리코사놀-사탕수수왁스알코올 플러스 011,"1일 1회, 1회 2캡슐 섭취",아침 식후,과다 섭취 시 설사 또는 위장장애 가능,복숭아 함유 가능,개봉 후 냉장 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",뼈 건강에 도움을 줄 수 있음,8802020262123
HF202600012,비타민C 플러스 012,"1일 1회, 1회 1정을 물과 함께 섭취",식전/식후 무관,수술 전후 또는 항응고제 복용자는 전문가와 상담,복숭아 함유 가능,어린이 손이 닿지 않는 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",눈 건강에 도움을 줄 수 있음,8802549748436
HF202600013,비타민C 플러스 013,1일 1병 섭취,식후,임산부·수유부는 섭취 전 전문가와 상담,복숭아 함유 가능,어린이 손이 닿지 않는 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",혈중 콜레스테롤 개선에 도움을 줄 수 있음,8801110533960
HF202600014,엽산 플러스 014,"1일 1회, 1회 2캡슐 섭취",저녁 식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,알레르기 유발물질 없음,직사광선을 피해 서늘한 곳에 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",기억력 개선에 도움을 줄 수 있음,8807002076563
HF202600015,프로바이오틱스 플러스 015,1일 1병 섭취,저녁 식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,복숭아 함유 가능,어린이 손이 닿지 않는 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",항산화에 도움을 줄 수 있음,8809098129449
HF202600016,비타민C 플러스 016,"1일 2회, 1회 1포 섭취",아침 식후,과다 섭취 시 설사 또는 위장장애 가능,대두 함유,개봉 후 냉장 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",간 건강에 도움을 줄 수 있음,8802131297865
HF202600017,가르시니아캄보지아추출물 플러스 017,"1일 2회, 1회 1포 섭취",취침 전 제외,특이체질 및 알레르기 체질은 성분 확인 후 섭취,우유 함유,직사광선을 피해 서늘한 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",피부 건강에 도움을 줄 수 있음,8807620473079
HF202600018,가르시니아캄보지아추출물 플러스 018,식후 물과 함께 섭취,아침 식후,수술 전후 또는 항응고제 복용자는 전문가와 상담,대두 함유,어린이 손이 닿지 않는 곳에 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",혈행 개선에 도움을 줄 수 있음,8809316609031
HF202600019,밀크씨슬추출물 플러스 019,식후 물과 함께 섭취,아침 식후,과다 섭취 시 설사 또는 위장장애 가능,게/새우 함유 가능,직사광선을 피해 서늘한 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",관절 건강에 도움을 줄 수 있음,8804067919621
HF202600020,루테인 플러스 020,식후 물과 함께 섭취,취침 전 제외,수술 전후 또는 항응고제 복용자는 전문가와 상담,복숭아 함유 가능,고온다습한 곳을 피하여 실온 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",기억력 개선에 도움을 줄 수 있음,8802928610987
HF202600021,프로바이오틱스 플러스 021,"1일 1회, 1회 2캡슐 섭취",아침 식후,질환자 또는 의약품 복용자는 전문가와 상담,우유 함유,직사광선을 피해 서늘한 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",혈중 콜레스테롤 개선에 도움을 줄 수 있음,8802869999754
HF202600022,밀크씨슬추출물 플러스 022,"1일 1회, 1회 2캡슐 섭취",취침 전 제외,임산부·수유부는 섭취 전 전문가와 상담,게/새우 함유 가능,직사광선을 피해 서늘한 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",혈행 개선에 도움을 줄 수 있음,8807684533347
HF202600023,코엔자임Q10 플러스 023,식후 물과 함께 섭취,저녁 식후,임산부·수유부는 섭취 전 전문가와 상담,복숭아 함유 가능,어린이 손이 닿지 않는 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",기억력 개선에 도움을 줄 수 있음,8808652281649
HF202600024,철 플러스 024,"1일 1회, 1회 1정을 물과 함께 섭취",식전/식후 무관,질환자 또는 의약품 복용자는 전문가와 상담,우유 함유,직사광선을 피해 서늘한 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",체지방 감소에 도움을 줄 수 있음,8804348118981
HF202600025,루테인 플러스 025,"1일 2회, 1회 1포 섭취",취침 전 제외,임산부·수유부는 섭취 전 전문가와 상담,알레르기 유발물질 없음,개봉 후 냉장 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",피부 건강에 도움을 줄 수 있음,8807910439839
HF202600026,폴리코사놀-사탕수수왁스알코올 플러스 026,"1일 1회, 1회 1정을 물과 함께 섭취",아침 식후,임산부·수유부는 섭취 전 전문가와 상담,알레르기 유발물질 없음,고온다습한 곳을 피하여 실온 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",체지방 감소에 도움을 줄 수 있음,8802725373847
HF202600027,가르시니아캄보지아추출물 플러스 027,1일 1병 섭취,저녁 식후,질환자 또는 의약품 복용자는 전문가와 상담,대두 함유,어린이 손이 닿지 않는 곳에 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",항산화에 도움을 줄 수 있음,8805381866906
