product_id,ingredient_id,ingredient_name,ingredient_category,function_category,functional_claim,daily_intake,recognition_type,caution,evidence_note,source_system
HF202600003,ING0001,루테인,기능성원료,눈 건강,눈 건강에 도움을 줄 수 있음,20 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600006,ING0002,비타민D,발효미생물류,뼈 건강,뼈 건강에 도움을 줄 수 있음,10-25 ug,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600002,ING0003,프로바이오틱스,발효미생물류,장 건강,장 건강에 도움을 줄 수 있음,1억-100억 CFU,고시형,과다 섭취 시 위장장애 가능,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600001,ING0004,EPA 및 DHA 함유 유지,식물추출물,혈행 개선,혈행 개선에 도움을 줄 수 있음,500-2000 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600019,ING0005,밀크씨슬추출물,기능성원료,간 건강,간 건강에 도움을 줄 수 있음,130 mg,고시형,어린이 손에 닿지 않는 곳에 보관,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600010,ING0006,홍삼,비타민/무기질,면역 기능,면역 기능에 도움을 줄 수 있음,3-80 mg,고시형,의약품 복용자는 전문가와 상담,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600023,ING0007,코엔자임Q10,식물추출물,항산화,항산화에 도움을 줄 수 있음,90-100 mg,고시형,과다 섭취 시 위장장애 가능,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600011,ING0008,폴리코사놀-사탕수수왁스알코올,식물추출물,혈중 콜레스테롤 개선,혈중 콜레스테롤 개선에 도움을 줄 수 있음,5-20 mg,개별인정형,어린이 손에 닿지 않는 곳에 보관,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600017,ING0009,가르시니아캄보지아추출물,식물추출물,체지방 감소,체지방 감소에 도움을 줄 수 있음,750-2800 mg,고시형,과다 섭취 시 위장장애 가능,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600008,ING0010,아연,발효미생물류,정상적인 면역기능,정상적인 면역기능에 도움을 줄 수 있음,2.55-12 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600005,ING0011,마그네슘,발효미생물류,에너지 이용,에너지 이용에 도움을 줄 수 있음,94.5-250 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600007,ING0012,칼슘,식물추출물,뼈와 치아 형성,뼈와 치아 형성에 도움을 줄 수 있음,210-800 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600012,ING0013,비타민C,비타민/무기질,항산화,항산화에 도움을 줄 수 있음,30-1000 mg,고시형,의약품 복용자는 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600014,ING0014,엽산,기능성원료,세포와 혈액 생성,세포와 혈액 생성에 도움을 줄 수 있음,400 ug,고시형,임산부와 수유부는 섭취 전 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600024,ING0015,철,비타민/무기질,체내 산소운반,체내 산소운반에 도움을 줄 수 있음,3.6-15 mg,고시형,의약품 복용자는 전문가와 상담,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600033,ING0016,쏘팔메토열매추출물,기능성원료,전립선 건강,전립선 건강에 도움을 줄 수 있음,115 mg,고시형,어린이 손에 닿지 않는 곳에 보관,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600004,ING0017,루테인,기능성원료,눈 건강,눈 건강에 도움을 줄 수 있음,20 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600032,ING0018,비타민D,발효미생물류,뼈 건강,뼈 건강에 도움을 줄 수 있음,10-25 ug,고시형,어린이 손에 닿지 않는 곳에 보관,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600015,ING0019,프로바이오틱스,지방산/지질류,장 건강,장 건강에 도움을 줄 수 있음,1억-100억 CFU,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600055,ING0020,EPA 및 DHA 함유 유지,지방산/지질류,혈행 개선,혈행 개선에 도움을 줄 수 있음,500-2000 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600022,ING0021,밀크씨슬추출물,발효미생물류,간 건강,간 건강에 도움을 줄 수 있음,130 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600083,ING0022,홍삼,기능성원료,면역 기능,면역 기능에 도움을 줄 수 있음,3-80 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
