product_id,product_name,report_no,company_name,company_address,product_type,form_type,manufacture_type,status,report_date,expire_months
HF202600001,EPA 및 DHA 함유 유지 플러스 001,2026-강원원주-00001,오픈헬스바이오,강원특별자치도 원주시 혁신로 190,건강기능식품,연질캡슐,국내제조,판매중,2022-10-13,18
HF202600002,프로바이오틱스 플러스 002,2026-강원원주-00002,웰니스코리아,강원특별자치도 원주시 혁신로 109,건강기능식품,정제,국내제조,판매중,2023-03-24,24
HF202600003,루테인 플러스 003,2026-강원원주-00003,스마트바이오,강원특별자치도 원주시 혁신로 51,건강기능식품,젤리,수입,판매중,2024-07-08,30
HF202600004,루테인 플러스 004,2026-강원원주-00004,한국건강식품,강원특별자치도 원주시 혁신로 179,건강기능식품,분말,수입,판매중,2022-11-15,24
HF202600005,마그네슘 플러스 005,2026-강원원주-00005,뉴트리랩스,강원특별자치도 원주시 혁신로 24,건강기능식품,분말,국내제조,판매중,2023-12-06,30
HF202600006,비타민D 플러스 006,2026-강원원주-00006,라이프뉴트리,강원특별자치도 원주시 혁신로 138,건강기능식품,정제,수입,판매중,2025-02-04,30
HF202600007,칼슘 플러스 007,2026-강원원주-00007,웰니스코리아,강원특별자치도 원주시 혁신로 50,건강기능식품,젤리,국내제조,판매중,2025-09-16,24
HF202600008,아연 플러스 008,2026-강원원주-00008,뉴트리랩스,강원특별자치도 원주시 혁신로 60,건강기능식품,츄어블정,국내제조,품목변경,2023-07-24,36
HF202600009,칼슘 플러스 009,2026-강원원주-00009,한국건강식품,강원특별자치도 원주시 혁신로 95,건강기능식품,연질캡슐,국내제조,판매중,2025-12-08,18
HF202600010,홍삼 플러스 010,2026-강원원주-00010,스마트바이오,강원특별자치도 원주시 혁신로 187,건강기능식품,캡슐,국내제조,품목변경,2024-02-17,30
HF202600011,폴리코사놀-사탕수수왁스알코올 플러스 011,2026-강원원주-00011,헬스밸런스,강원특별자치도 원주시 혁신로 197,건강기능식품,츄어블정,국내제조,판매중,2022-03-07,30
HF202600012,비타민C 플러스 012,2026-강원원주-00012,그린웰니스,강원특별자치도 원주시 혁신로 17,건강기능식품,캡슐,수입,판매중,2025-09-04,36
HF202600013,비타민C 플러스 013,2026-강원원주-00013,라이프뉴트리,강원특별자치도 원주시 혁신로 37,건강기능식품,연질캡슐,국내제조,판매중,2026-03-06,30
HF202600014,엽산 플러스 014,2026-강원원주-00014,웰니스코리아,강원특별자치도 원주시 혁신로 103,건강기능식품,연질캡슐,국내제조,판매중,2024-11-09,36
HF202600015,프로바이오틱스 플러스 015,2026-강원원주-00015,오픈헬스바이오,강원특별자치도 원주시 혁신로 29,건강기능식품,캡슐,국내제조,품목변경,2025-05-06,18
HF202600016,비타민C 플러스 016,2026-강원원주-00016,메디푸드,강원특별자치도 원주시 혁신로 153,건강기능식품,분말,수입,판매중지,2022-01-24,18
HF202600017,가르시니아캄보지아추출물 플러스 017,2026-강원원주-00017,헬스밸런스,강원특별자치도 원주시 혁신로 29,건강기능식품,연질캡슐,수입,판매중,2024-07-18,18
HF202600018,가르시니아캄보지아추출물 플러스 018,2026-강원원주-00018,스마트바이오,강원특별자치도 원주시 혁신로 196,건강기능식품,캡슐,국내제조,판매중,2025-08-01,24
HF202600019,밀크씨슬추출물 플러스 019,2026-강원원주-00019,헬스밸런스,강원특별자치도 원주시 혁신로 196,건강기능식품,캡슐,국내제조,판매중지,2023-10-26,36
HF202600020,루테인 플러스 020,2026-강원원주-00020,뉴트리랩스,강원특별자치도 원주시 혁신로 93,건강기능식품,츄어블정,수입,판매중,2022-04-29,24
HF202600021,프로바이오틱스 플러스 021,2026-강원원주-00021,뉴트리랩스,강원특별자치도 원주시 혁신로 188,건강기능식품,분말,국내제조,판매중지,2026-04-18,24
HF202600022,밀크씨슬추출물 플러스 022,2026-강원원주-00022,라이프뉴트리,강원특별자치도 원주시 혁신로 141,건강기능식품,캡슐,수입,판매중지,2025-05-27,36
